S0337	-32.50433	-163.98967
S0338	-32.50433	-163.98967
S0339	-32.50433	-163.98967
S0340	-32.50433	-163.98967
S0341	-32.50433	-163.98967
S0342	-32.494	-157.00883
S0343	-32.494	-157.00883
S0344	-32.494	-157.00883
S0345	-32.50383	-156.01067
S0346	-32.50383	-156.01067
S0347	-32.50383	-156.01067
S0348	-32.50383	-156.01067
S0349	-32.50383	-156.01067
S0350	-32.4995	-154.99933
S0351	-32.4995	-154.99933
S0352	-32.4995	-154.99933
S0353	-32.4995	-154.99933
S0354	-32.4995	-154.99933
S0355	-32.50133	-153.99817
S0356	-32.50133	-153.99817
S0357	-32.50133	-153.99817
S0358	-32.50133	-153.99817
S0359	-32.50133	-153.99817
S0360	-32.50133	-153.99817
S0361	-32.49483	-154.00417
S0362	-32.49483	-154.00417
S0363	-32.494	-153.00567
S0365	-32.495	-168.002
S0366	-32.495	-168.002
S0367	-32.49717	-167.00217
S0368	-32.49717	-167.00217
S0369	-32.49717	-167.00217
S0370	-32.49717	-167.00217
S0371	-32.49717	-167.00217
S0372	-32.4985	-165.99883
S0373	-32.4985	-165.99883
S0374	-32.4985	-165.99883
S0375	-32.4985	-165.99883
S0376	-32.4985	-165.99883
S0377	-32.49567	-164.99233
S0378	-32.49567	-164.99233
S0379	-32.50633	-162.9935
S0380	-32.50633	-162.9935
S0381	-32.50633	-162.9935
S0382	-32.50633	-162.9935
S0383	-32.50633	-162.9935
S0384	-32.509	-162.009
S0385	-32.509	-162.009
S0386	-32.509	-162.009
S0387	-32.509	-162.009
S0388	-32.509	-162.009
S0389	-32.49783	-160.99283
S0390	-32.49783	-160.99283
S0391	-32.49783	-160.99283
S0392	-32.49783	-160.99283
S0393	-32.49783	-160.99283
S0394	-32.51033	-160.00783
S0395	-32.51033	-160.00783
S0396	-32.51033	-160.00783
S0397	-32.51033	-160.00783
S0398	-32.51033	-160.00783
S0399	-32.46367	-159.01933
S0400	-32.46367	-159.01933
S0401	-32.46367	-159.01933
S0402	-32.46367	-159.01933
S0403	-32.494	-153.00567
S0404	-32.494	-153.00567
S0405	-32.494	-153.00567
S0406	-32.4885	-151.9995
S0407	-32.4885	-151.9995
S0408	-32.4885	-151.9995
S0409	-32.4885	-151.9995
