sampleID	pro_HLI	pro_HLII	pro_HLIII_HLIV	pro_LLI	pro_LLII_LLIII	pro_LLIV	pro_LLVII	pro	pro_LLVIIa	pro_LLVIIb	pro_LLVIIc	pro_LLVIId	pro_LLVIIe	pro_LLVIIf	pel_Ia	pel_Ib	pel_Ic	pel_IIa	pel_IIb	pel_IIIa	pel_IIIb	pel_IV	pel_V	sar11	bacteria	archaea	eukaryotes	viruses
tara_S0093	0.14882457930628692	0.08578708652558524	0.034525623111176386	0.6553432506459554	0.0022420525368631633	0.0017257038426180264	0.003900095302820266	0.11546530838898478	0.19184084315234767	0.1919000532891231	0.26372194919770264	0.14488720468944283	0.06305879566581798	0.011368346260879863	0.4534017713179889	0.231995876897956	0.007198458042474666	0.13754562906358989	0.016392614054443318	0.004682945221512514	7.894987807962169e-4	0.019865670840618826	0.07848964456137716	0.1445490058304767	0.6270589355803063	0.10238482511422925	0.25831662710018455	0.0022771458357230805
tara_S0094	0.013924366790413588	0.12344461579445813	0.010764952400867153	0.6748166172022213	0.020000031682591127	0.01748364188216769	0.0325702317238313	0.10488253432458976	0.25477861902368637	0.21524861788881502	0.19402652356479305	0.12582480828780337	0.06285160746421102	0.013484703555389829	0.31742614988651774	0.29764791918615885	0.02050381350061644	0.1432677604275899	0.06275112607954104	0.004283089428093027	0.0012392729337447532	0.029794646708179336	0.061188030808409725	0.26842757749255447	0.9162100044318467	0.043920405312450735	0.006783914111921208	0.023255128755953394
tara_S0095	0.014018526884095252	0.12336801640366839	0.010854398687913483	0.6760087942391848	0.020138212741299132	0.01737538072206796	0.03277888063265749	0.10521225206271	0.25199273932602007	0.2164884381658906	0.19477547154920685	0.1283738457895983	0.06287980427748402	0.013150106542498619	0.3178462136947582	0.2981126121072886	0.020465134479198257	0.14352413620232793	0.062414442222686085	0.0042629132770170735	0.0012708446536926086	0.030034138625101844	0.061289827919528334	0.2677918528590284	0.9160301182961181	0.04415127328102681	0.006981650076132681	0.02323418705249404
tara_S0096	0.033964965491606366	0.7636780121130062	0.008436007651605524	0.009282041375748456	0.001900585156921059	0.003876935281322492	0.0021970831042759657	0.22687003503034092	0.19886507225400327	0.12284329266891814	0.3980058354584511	0.09520527488685183	0.09148344705585039	0.009810002986651963	0.4093181473458143	0.24958886588225584	0.0035574734985318363	0.16362001944381216	0.010222269245214393	0.00722541322490924	7.850620246193168e-4	0.03652107880012055	0.07473580846462151	0.2086791878091207	0.8929850110450356	0.041438396872348245	0.0156542566044045	0.03921120467040675
tara_S0097	0.03418566915327815	0.762949234670594	0.00850249103917669	0.009395219719361244	0.001963266608396437	0.003953625454288162	0.0022828497982680432	0.22484703555086838	0.20140569189998847	0.12443829934324231	0.39693513077543496	0.09067864961401083	0.09332872450743174	0.011867726696624035	0.4097994186770965	0.24862654085373173	0.0035413891079440494	0.1632616757991901	0.010228292556609089	0.007209962294503901	7.877392256609347e-4	0.03655568328070758	0.07493748931181096	0.2064643329770629	0.892039414013209	0.04179701527704639	0.01659176944335229	0.03893508260695328
tara_S0098	0.039418115459624564	0.4411421878425152	0.019023521770114515	0.19873990806133665	0.04018656284807633	0.03131139995745228	0.08359898694367443	0.10234695485151665	0.36251572327044024	0.18685050798258346	0.15818093855829704	0.10616352201257861	0.05239477503628447	0.012568940493468796	0.29667529636190215	0.2831576669365116	0.011749477008407942	0.2006356051072834	0.03516026386027909	0.0073242868478635495	0.0010692272548752434	0.032395020959739666	0.07110601700824763	0.1032883330122553	0.8355138077765568	0.07319138621183584	0.06353611308260658	0.01567153311683264
tara_S0099	0.03996931809884131	0.4486272647180657	0.018731109577925956	0.19908568480488398	0.04087107664401693	0.030120673500486913	0.08420544044155732	0.10523132825587184	0.3651427330312048	0.18732778350482043	0.15703875154792238	0.10527979304845078	0.05313669046090807	0.0122618144567846	0.297955153913433	0.28513610085969665	0.011938290632932995	0.2025802899076306	0.03559101478336924	0.007277689485248629	0.0010243562941314505	0.031928771039102334	0.07110856603451586	0.10772358663564091	0.8371099276320841	0.07318301832805592	0.06184003626481901	0.016463871064906783
tara_S0100	0.045235679233849406	0.7436228181699361	0.005975214172835399	0.0023516830836135504	0.0013383871389360867	0.0018787799574624827	0.0020204132555459177	0.20477190734103431	0.19007292401787815	0.14443660315219947	0.3702658198071042	0.10703363914373089	0.07974594213126324	0.013408609738884969	0.3215686221506179	0.32150689942890714	0.0038871798753291127	0.1584926860827427	0.006560629733952543	0.006377714222897418	7.564412390678697e-4	0.05887086164919508	0.07331082481379561	0.21602050575529716	0.901727976016278	0.02673137018710227	0.05098458204594097	0.012735707523789122
tara_S0101	0.046254134828517354	0.7582667673360618	0.005944787138852894	0.002270345410468318	0.0012900935780195849	0.0019979541594058172	0.001933423060402892	0.20694323866036532	0.17897649631046733	0.13805001366493577	0.3881525006832468	0.10429762230117519	0.09213582946160154	0.013596611095927849	0.3243980064304199	0.3245083736918256	0.0038135004269405437	0.16052760856477094	0.006650599151103638	0.006350405135452216	7.501148862116003e-4	0.05785459245947921	0.07315646727783437	0.22156227380513926	0.9036082306891482	0.026427836103821354	0.049730238868607266	0.013166973060928911
tara_S0102	0.07734582431129343	0.3778768480024102	0.005934307594089671	0.3821649001743094	0.009309822913539054	0.005060198739356725	0.015804154527689164	0.11234830806511165	0.3483546766088507	0.17970497649538011	0.17941319500729452	0.10047009239747123	0.05877775976657481	0.013292267790565733	0.4259748426310379	0.2459410669350235	0.010375627336432146	0.123528271167493	0.02271789277787226	0.0033588835605086504	9.03700269403964e-4	0.02909931116212009	0.0765415442144226	0.2125616067247966	0.8487403152426858	0.08478964229905722	0.05275518156174868	0.004866368568156618
