sampleID	station_num_BODC	lat	lon	aluminum_total.particulate_nmol.kg	cobalt_dissolved_pmol.kg	dissolved.inorganic.carbon_dissolved_umol.kg	iron_dissolved_nmol.kg	iron_total.particulate_nmol.kg	lead_total.dissolvable_pmol.kg	lead_total.particulate_pmol.kg	nitrite_dissolved_umol.kg	nitrite.nitrate_dissolved_umol.kg	oxygen_dissolved_umol.kg	phosphate_dissolved_umol.kg	pressure_dissolved_dbar	salinity_dissolved_PSS.1978	silicate_dissolved_umol.kg	temperature_dissolved_deg.c	zinc_dissolved_nmol.kg
S0484	761176	-34.89531	16.07692	2.390244	1.239024	2049	NA	0.868293	NA	1.42439	0.087805	0.936585	236.2927	0.204878	21.4	35.554001	2.917073	18.057	0.917073
S0485	761176	-34.89531	16.07692	NA	NA	NA	NA	NA	NA	NA	0.087805	0.965854	236.3902	0.204878	41.6	35.553001	2.917073	18.042	NA
S0486	761176	-34.89531	16.07692	NA	NA	NA	NA	NA	NA	NA	0.107317	1.141463	234.2439	0.22439	61.4	35.549999	2.936585	18.005	NA
S0487	761176	-34.89531	16.07692	NA	22.985367	NA	NA	NA	NA	NA	0.107317	1.170732	233.6585	0.22439	72.1	35.549	2.956098	17.992	0.253659
S0488	761176	-34.89531	16.07692	0.887805	21.746342	2056.600098	NA	0.312195	NA	0.682927	0.107317	1.219512	232.8781	0.234146	101.9	35.549	2.995122	17.978	0.156098
S0489	761184	-36.48458	13.276	NA	NA	NA	NA	NA	NA	NA	0.087805	1.756098	240.0976	0.282927	6.3	35.505001	2.926829	16.49	NA
S0490	761184	-36.48458	13.276	NA	NA	NA	NA	NA	NA	NA	0.087805	1.765854	240	0.292683	21.3	35.504002	2.936585	16.481	NA
S0491	761184	-36.48458	13.276	NA	NA	NA	NA	NA	NA	NA	0.087805	1.756098	239.5122	0.302439	41	35.473999	2.809756	16.275	NA
S0492	761184	-36.48458	13.276	NA	NA	NA	NA	NA	NA	NA	0.04878	0.819512	251.1219	0.321951	62	35.299	1.326829	14.73	NA
S0493	761184	-36.48458	13.276	NA	NA	NA	NA	NA	NA	NA	0.136585	1.443902	247.8049	0.35122	81.5	35.34	1.717073	14.562	NA
S0494	761184	-36.48458	13.276	NA	NA	NA	NA	NA	NA	NA	0.214634	1.960976	246.8293	0.390244	101.7	35.264999	1.746341	14.204	NA
S0495	761192	-39.25553	7.72506	NA	NA	2079.199951	0.07	NA	NA	NA	0.097561	2.136585	253.7561	0.360976	6.1	35.175999	1.541463	13.833	NA
S0496	761192	-39.25553	7.72506	NA	1.668293	2078.100098	0.06	NA	NA	NA	0.107317	2.146342	253.2683	0.360976	21.6	35.173	1.531707	13.678	NA
S0497	761192	-39.25553	7.72506	NA	7.746342	2079.800049	0.05	NA	NA	NA	0.117073	2.273171	253.2683	0.370732	51.6	35.167999	1.541463	13.578	NA
S0498	761192	-39.25553	7.72506	NA	3.521951	NA	NA	NA	NA	NA	0.117073	2.321951	252.3902	0.380488	71.9	35.167	1.551219	13.565	NA
S0499	761192	-39.25553	7.72506	NA	NA	NA	NA	NA	NA	NA	0.126829	2.341463	252	0.390244	92.2	35.166	1.551219	13.558	NA
S0500	761192	-39.25553	7.72506	NA	8.409756	NA	NA	NA	NA	NA	0.234146	3.570732	249.8537	0.468293	122.1	35.092999	1.834146	13.116	NA
