sampleID	RPK_prochlorococcus_TBDT	RPK_total_prochlorococcus_reads	RPK_prochlorococcus_marker_median	W	M	RA
S0133	0	91523.7491201593	415.4996471801554	0	13401037	0
S0138	7.736063708759955	409440.975028895	1896.7875450469185	17	12507185	0.004078508280466697
S0139	9.556313993174061	386735.82351753477	1785.0565892959896	21	12166576	0.005353507586525863
S0140	58.70307167235495	204605.11129169023	946.8357185612476	129	11125867	0.06199921540936
S0141	0	21224.34354503364	98.39889725373763	0	7549241	0
S0147	0	50590.95180324289	223.9147934856649	0	15515537	0
S0148	0.4550625711035267	372825.73874999624	1704.4672041839176	1	20617031	2.6698229803805834e-4
S0149	4.09556313993174	229334.12590465636	1043.6098417213934	9	10125674	0.003924419813036901
S0150	0	51156.08523512869	236.18543519911094	0	12626920	0
S0152	0.4550625711035267	240899.1063452315	1124.8255614443133	1	18434854	4.045627932914427e-4
S0153	0	150142.2427126049	709.6872306990438	0	10160196	0
S0154	0	200182.696161335	947.7426487742038	0	12577659	0
S0155	0.9101251422070534	194803.9396050617	904.3794875639297	2	12857620	0.0010063531456895383
S0163	0	35136.723956382	156.2955327597004	0	25827346	0
S0164	17.292377701934015	199270.9339420849	927.5632896529055	38	13733716	0.018642800868504433
S0165	7.281001137656427	89841.62594759224	407.92087185995285	16	10994488	0.017849052696073214
S0168	0	35831.16756388662	157.7002202923881	0	14474471	0
S0169	0	126711.43190568371	590.2342991652107	0	7162717	0
S0170	0	133647.30502423513	619.0496683576038	0	6763785	0
S0171	0	103937.51372733206	485.7788080057174	0	7327672	0
S0177	4.09556313993174	384544.0412856288	1778.4199811311394	9	17533909	0.0023029223599516768
S0178	22.29806598407281	30080.725741014805	136.76567211954767	49	10873834	0.163038470388841
S0179	0	331669.8155126885	1522.8688378715058	0	14352522	0
S0181	0	492209.78977848607	2328.3487107834817	0	14232735	0
S0182	9.101251422070535	341072.3100795192	1619.2955250332307	20	11592444	0.005620500570384619
S0184	0	503175.0124664016	2351.08566765692	0	14283238	0
S0185	19.112627986348123	363676.108728092	1688.9685237180454	42	12156078	0.0113161540419203
S0186	10.921501706484642	60154.07140718432	279.7687395499677	24	12188162	0.039037605573992384
S0187	0	572231.9059727313	2703.601374818668	0	18047538	0
S0188	0.9101251422070534	682087.1311553721	3183.4496510468593	2	17715550	2.858927396284606e-4
S0189	20.477815699658702	77147.179053228	358.08529918445	45	10794170	0.057186976807753746
S0190	20.477815699658702	392235.1736535103	1837.0458202761058	45	13595684	0.0111471447656003
S0191	40.50056882821388	351432.05381551606	1640.8973311546833	89	11110857	0.024681963983519937
S0192	59.15813424345848	482246.8476862693	2271.920154923284	130	13889933	0.02603882628324853
S0193	538.7940841865757	266624.9704751283	1251.4878213387326	1184	9121139	0.43052283450127443
S0195	149.26052332195678	118859.68486488148	538.5793900139597	328	7216709	0.2771374584498824
S0196	47.78156996587031	272576.43152170774	1283.7223798822179	105	9640193	0.037221108484728836
S0197	48.69169510807736	348133.32384423935	1650.1259662797966	107	10524124	0.0295078655224441
S0198	532.4232081911263	160712.05706601866	754.2704124529205	1170	7864017	0.7058784215857846
S0199	203.86803185437998	499434.5457330039	2300.0254358332154	448	14310352	0.0886372944743222
S0200	140.61433447098975	442755.1427058966	2039.5299851010286	309	13322944	0.06894448009992085
S0201	1.3651877133105803	39612.41113491208	187.18004750253468	3	4713119	0.007293446772376173
S0202	96.92832764505118	286494.1345840532	1264.8048177739395	213	9458923	0.07663500825024161
