sampleID	sample_category	section	cruise_id	station_num_BODC	bottle_num_BODC	date	time	lat	lon	depth	ocean_category	replicate	depth_category
S0063	geotraces	GA03	KN204-1	1701465	846107	2011-12-01	17:25:00	24.1497	-40.21786	283.9	north atlantic	A	epipelagic
S0064	geotraces	GA03	KN204-1	1701374	845300	2011-11-10	14:23:00	38.65497	-69.13131	28.4	north atlantic	A	epipelagic
S0065	geotraces	GA03	KN204-1	1701374	845303	2011-11-10	14:23:00	38.65497	-69.13131	61.2	north atlantic	A	epipelagic
S0066	geotraces	GA03	KN204-1	1701374	845306	2011-11-10	14:23:00	38.65497	-69.13131	86.4	north atlantic	A	epipelagic
S0067	geotraces	GA03	KN204-1	1701374	845309	2011-11-10	14:23:00	38.65497	-69.13131	108.8	north atlantic	A	epipelagic
S0068	geotraces	GA03	KN204-1	1701374	845312	2011-11-10	14:23:00	38.65497	-69.13131	135.6	north atlantic	A	epipelagic
S0069	geotraces	GA03	KN204-1	1701374	845315	2011-11-10	14:23:00	38.65497	-69.13131	186.5	north atlantic	A	epipelagic
S0070	geotraces	GA03	KN204-1	1701374	845318	2011-11-10	14:23:00	38.65497	-69.13131	234.7	north atlantic	A	epipelagic
S0071	geotraces	GA03	KN204-1	1701374	845321	2011-11-10	14:23:00	38.65497	-69.13131	288.8	north atlantic	A	epipelagic
S0072	geotraces	GA03	KN204-1	1646816	846236	2011-12-03	23:12:00	22.33305	-35.86703	39.9	north atlantic	A	epipelagic
S0073	geotraces	GA03	KN204-1	1646816	846239	2011-12-03	23:12:00	22.33305	-35.86703	74.3	north atlantic	A	epipelagic
S0074	geotraces	GA03	KN204-1	1646816	846242	2011-12-03	23:12:00	22.33305	-35.86703	99.7	north atlantic	A	epipelagic
S0075	geotraces	GA03	KN204-1	1646816	846245	2011-12-03	23:12:00	22.33305	-35.86703	134.2	north atlantic	A	epipelagic
S0076	geotraces	GA03	KN204-1	1646816	846248	2011-12-03	23:12:00	22.33305	-35.86703	183.8	north atlantic	A	epipelagic
S0077	geotraces	GA03	KN204-1	1646816	846251	2011-12-03	23:12:00	22.33305	-35.86703	234.1	north atlantic	A	epipelagic
S0078	geotraces	GA03	KN204-1	1646816	846254	2011-12-03	23:12:00	22.33305	-35.86703	300.8	north atlantic	A	epipelagic
