sampleID	sample_category	section	cruise_id	station_num_BODC	bottle_num_BODC	date	time	lat	lon	depth	ocean_category	replicate	depth_category
tara_S0045	tara	NA	NA	TARA_039	TARA_B100000519	2010-03-18	NA	18.5839	66.4727	25	indian	B	epipelagic
tara_S0046	tara	NA	NA	TARA_039	TARA_B100000519	2010-03-20	NA	18.7341	66.3896	271	indian	A	mesopelagic
tara_S0047	tara	NA	NA	TARA_039	TARA_B100000530	2010-03-20	NA	18.7341	66.3896	271	indian	B	mesopelagic
tara_S0048	tara	NA	NA	TARA_041	TARA_B100000530	2010-03-30	NA	14.5536	70.0128	60	indian	A	epipelagic
tara_S0049	tara	NA	NA	TARA_041	TARA_B100000767	2010-03-30	NA	14.5536	70.0128	60	indian	B	epipelagic
tara_S0050	tara	NA	NA	TARA_041	TARA_B100000767	2010-03-30	NA	14.6059	69.9776	5	indian	A	epipelagic
tara_S0051	tara	NA	NA	TARA_041	TARA_B100000795	2010-03-30	NA	14.6059	69.9776	5	indian	B	epipelagic
tara_S0052	tara	NA	NA	TARA_042	TARA_B100000795	2010-04-04	NA	5.9998	73.9067	80	indian	A	epipelagic
tara_S0053	tara	NA	NA	TARA_042	TARA_B100001059	2010-04-04	NA	5.9998	73.9067	80	indian	B	epipelagic
tara_S0054	tara	NA	NA	TARA_042	TARA_B100001029	2010-04-04	NA	6.0001	73.8955	5	indian	A	epipelagic
tara_S0055	tara	NA	NA	TARA_042	TARA_B100001029	2010-04-04	NA	6.0001	73.8955	5	indian	B	epipelagic
tara_S0056	tara	NA	NA	TARA_045	TARA_B100000965	2010-04-13	NA	0.0033	71.6428	5	indian	A	epipelagic
tara_S0057	tara	NA	NA	TARA_045	TARA_B100000965	2010-04-13	NA	0.0033	71.6428	5	indian	B	epipelagic
tara_S0058	tara	NA	NA	TARA_048	TARA_B100000959	2010-04-19	NA	-9.3921	66.4228	5	indian	A	epipelagic
tara_S0059	tara	NA	NA	TARA_048	TARA_B100000959	2010-04-19	NA	-9.3921	66.4228	5	indian	B	epipelagic
tara_S0060	tara	NA	NA	TARA_052	TARA_B100000959	2010-05-17	NA	-16.9534	53.9601	75	indian	A	epipelagic
tara_S0061	tara	NA	NA	TARA_052	TARA_B100000902	2010-05-17	NA	-16.9534	53.9601	75	indian	B	epipelagic
tara_S0062	tara	NA	NA	TARA_052	TARA_B100000902	2010-05-17	NA	-16.957	53.9801	5	indian	A	epipelagic
tara_S0063	tara	NA	NA	TARA_052	TARA_B100000902	2010-05-17	NA	-16.957	53.9801	5	indian	B	epipelagic
tara_S0064	tara	NA	NA	TARA_056	TARA_B100000927	2010-06-26	NA	-15.3424	43.2965	5	indian	A	epipelagic
tara_S0065	tara	NA	NA	TARA_057	TARA_B100000927	2010-06-27	NA	-17.0248	42.7401	5	indian	A	epipelagic
tara_S0066	tara	NA	NA	TARA_058	TARA_B100000927	2010-06-29	NA	-17.2855	42.2866	66	indian	A	epipelagic
tara_S0067	tara	NA	NA	TARA_062	TARA_B100001113	2010-07-03	NA	-22.3368	40.3412	5	indian	A	epipelagic
tara_S0068	tara	NA	NA	TARA_064	TARA_B100000579	2010-07-08	NA	-29.5333	37.9117	65	indian	A	epipelagic
tara_S0069	tara	NA	NA	TARA_064	TARA_B100000945	2010-07-08	NA	-29.5333	37.9117	65	indian	B	epipelagic
tara_S0070	tara	NA	NA	TARA_064	TARA_B100000700	2010-07-08	NA	-29.5333	37.9117	65	indian	C	epipelagic
tara_S0071	tara	NA	NA	TARA_064	TARA_B100000686	2010-07-07	NA	-29.5019	37.9889	5	indian	A	epipelagic
tara_S0072	tara	NA	NA	TARA_064	TARA_B100000686	2010-07-07	NA	-29.5019	37.9889	5	indian	B	epipelagic
tara_S0073	tara	NA	NA	TARA_064	TARA_B100000686	2010-07-07	NA	-29.5019	37.9889	5	indian	C	epipelagic
tara_S0074	tara	NA	NA	TARA_065	TARA_B100000686	2010-07-12	NA	-35.2421	26.3048	30	indian	A	epipelagic
tara_S0075	tara	NA	NA	TARA_065	TARA_B100000676	2010-07-12	NA	-35.2421	26.3048	30	indian	B	epipelagic
tara_S0076	tara	NA	NA	TARA_065	TARA_B100000676	2010-07-12	NA	-35.2421	26.3048	30	indian	C	epipelagic
tara_S0077	tara	NA	NA	TARA_065	TARA_B100000676	2010-07-12	NA	-35.1728	26.2868	5	indian	A	epipelagic
tara_S0078	tara	NA	NA	TARA_065	TARA_B100000676	2010-07-12	NA	-35.1728	26.2868	5	indian	B	epipelagic
tara_S0079	tara	NA	NA	TARA_066	TARA_B100001123	2010-07-15	NA	-34.8901	18.0459	30	south atlantic	A	epipelagic
tara_S0080	tara	NA	NA	TARA_066	TARA_B100000614	2010-07-15	NA	-34.8901	18.0459	30	south atlantic	B	epipelagic
tara_S0081	tara	NA	NA	TARA_066	TARA_B100001250	2010-07-15	NA	-34.9449	17.9189	5	south atlantic	A	epipelagic
tara_S0082	tara	NA	NA	TARA_066	TARA_B100001094	2010-07-15	NA	-34.9449	17.9189	5	south atlantic	B	epipelagic
tara_S0083	tara	NA	NA	TARA_066	TARA_B100001964	2010-07-15	NA	-34.9449	17.9189	5	south atlantic	C	epipelagic
tara_S0084	tara	NA	NA	TARA_067	TARA_B100001964	2010-09-07	NA	-32.2401	17.7103	5	south atlantic	A	epipelagic
tara_S0085	tara	NA	NA	TARA_067	TARA_B100001964	2010-09-07	NA	-32.2401	17.7103	5	south atlantic	B	epipelagic
tara_S0086	tara	NA	NA	TARA_068	TARA_B100001964	2010-09-14	NA	-31.027	4.6802	50	south atlantic	A	epipelagic
tara_S0087	tara	NA	NA	TARA_068	TARA_B100001996	2010-09-14	NA	-31.027	4.6802	50	south atlantic	B	epipelagic
tara_S0088	tara	NA	NA	TARA_068	TARA_B100002052	2010-09-14	NA	-31.027	4.6802	50	south atlantic	C	epipelagic
tara_S0089	tara	NA	NA	TARA_068	TARA_B100001750	2010-09-14	NA	-31.0266	4.665	5	south atlantic	A	epipelagic
tara_S0090	tara	NA	NA	TARA_068	TARA_B100001778	2010-09-14	NA	-31.0266	4.665	5	south atlantic	B	epipelagic
tara_S0091	tara	NA	NA	TARA_068	TARA_B100001559	2010-09-14	NA	-31.0266	4.665	5	south atlantic	C	epipelagic
tara_S0092	tara	NA	NA	TARA_070	TARA_B100002029	2010-09-21	NA	-20.4091	-3.1759	5	south atlantic	A	epipelagic
tara_S0093	tara	NA	NA	TARA_070	TARA_X000000263	2010-09-21	NA	-20.4091	-3.1759	5	south atlantic	B	epipelagic
tara_S0094	tara	NA	NA	TARA_072	TARA_X000000263	2010-10-05	NA	-8.7296	-17.9604	100	south atlantic	A	epipelagic
tara_S0095	tara	NA	NA	TARA_072	TARA_A100000164	2010-10-05	NA	-8.7296	-17.9604	100	south atlantic	B	epipelagic
tara_S0096	tara	NA	NA	TARA_072	TARA_A100000164	2010-10-05	NA	-8.7789	-17.9099	5	south atlantic	A	epipelagic
tara_S0097	tara	NA	NA	TARA_072	TARA_E500000075	2010-10-05	NA	-8.7789	-17.9099	5	south atlantic	B	epipelagic
tara_S0098	tara	NA	NA	TARA_076	TARA_E500000075	2010-10-16	NA	-21.0292	-35.3498	150	south atlantic	A	epipelagic
tara_S0099	tara	NA	NA	TARA_076	TARA_E500000178	2010-10-16	NA	-21.0292	-35.3498	150	south atlantic	B	epipelagic
tara_S0100	tara	NA	NA	TARA_076	TARA_E500000178	2010-10-16	NA	-20.9354	-35.1803	5	south atlantic	A	epipelagic
tara_S0101	tara	NA	NA	TARA_076	TARA_A100001015	2010-10-16	NA	-20.9354	-35.1803	5	south atlantic	B	epipelagic
tara_S0102	tara	NA	NA	TARA_078	TARA_A100001015	2010-11-04	NA	-30.1484	-43.2705	120	south atlantic	A	epipelagic
tara_S0103	tara	NA	NA	TARA_078	TARA_A100001403	2010-11-04	NA	-30.1484	-43.2705	120	south atlantic	B	epipelagic
tara_S0104	tara	NA	NA	TARA_078	TARA_A100001403	2010-11-04	NA	-30.1367	-43.2899	5	south atlantic	A	epipelagic
tara_S0105	tara	NA	NA	TARA_078	TARA_A100001035	2010-11-04	NA	-30.1367	-43.2899	5	south atlantic	B	epipelagic
tara_S0106	tara	NA	NA	TARA_082	TARA_A100001035	2010-12-06	NA	-47.2007	-57.9446	40	south atlantic	A	epipelagic
tara_S0107	tara	NA	NA	TARA_082	TARA_A100001035	2010-12-06	NA	-47.2007	-57.9446	40	south atlantic	B	epipelagic
tara_S0108	tara	NA	NA	TARA_082	TARA_A100001234	2010-12-06	NA	-47.1863	-58.2902	5	south atlantic	A	epipelagic
tara_S0109	tara	NA	NA	TARA_082	TARA_A100001234	2010-12-06	NA	-47.1863	-58.2902	5	south atlantic	B	epipelagic
tara_S0110	tara	NA	NA	TARA_084	TARA_B100000003	2011-01-03	NA	-60.2287	-60.6476	5	southern ocean	A	epipelagic
tara_S0111	tara	NA	NA	TARA_084	TARA_B100000003	2011-01-03	NA	-60.2287	-60.6476	5	southern ocean	B	epipelagic
tara_S0112	tara	NA	NA	TARA_085	TARA_B100000034	2011-01-06	NA	-62.2231	-49.2139	89	southern ocean	A	epipelagic
tara_S0113	tara	NA	NA	TARA_085	TARA_B100000034	2011-01-06	NA	-62.2231	-49.2139	89	southern ocean	B	epipelagic
tara_S0114	tara	NA	NA	TARA_085	TARA_B100000066	2011-01-06	NA	-62.0385	-49.529	5	southern ocean	A	epipelagic
tara_S0115	tara	NA	NA	TARA_085	TARA_B100000066	2011-01-06	NA	-62.0385	-49.529	5	southern ocean	B	epipelagic
tara_S0116	tara	NA	NA	TARA_093	TARA_B100000282	2011-03-12	NA	-33.9116	-73.0537	35	south pacific	A	epipelagic
tara_S0117	tara	NA	NA	TARA_093	TARA_B100000282	2011-03-12	NA	-34.0614	-73.1066	5	south pacific	A	epipelagic
tara_S0118	tara	NA	NA	TARA_094	TARA_B100000123	2011-03-18	NA	-32.7971	-87.0693	5	south pacific	A	epipelagic
tara_S0119	tara	NA	NA	TARA_096	TARA_B100000123	2011-03-24	NA	-29.7238	-101.1604	5	south pacific	A	epipelagic
tara_S0120	tara	NA	NA	TARA_098	TARA_B100000161	2011-04-03	NA	-25.826	-111.7294	187.5	south pacific	A	epipelagic
tara_S0121	tara	NA	NA	TARA_098	TARA_B100000161	2011-04-03	NA	-25.826	-111.7294	187.5	south pacific	B	epipelagic
tara_S0122	tara	NA	NA	TARA_098	TARA_B100000242	2011-04-03	NA	-25.8051	-111.7202	5	south pacific	A	epipelagic
tara_S0123	tara	NA	NA	TARA_098	TARA_B100000242	2011-04-03	NA	-25.8051	-111.7202	5	south pacific	B	epipelagic
tara_S0124	tara	NA	NA	TARA_099	TARA_B100000212	2011-04-09	NA	-21.146	-104.787	5	south pacific	A	epipelagic
tara_S0125	tara	NA	NA	TARA_100	TARA_B100000212	2011-04-15	NA	-12.9723	-96.012200000000007	50	south pacific	A	epipelagic
tara_S0126	tara	NA	NA	TARA_100	TARA_B000000609	2011-04-15	NA	-12.9723	-96.012200000000007	50	south pacific	B	epipelagic
tara_S0127	tara	NA	NA	TARA_100	TARA_B000000565	2011-04-16	NA	-12.9794	-96.0232	177	south pacific	A	mesopelagic
tara_S0128	tara	NA	NA	TARA_100	TARA_B000000532	2011-04-16	NA	-12.9794	-96.0232	177	south pacific	B	mesopelagic
tara_S0129	tara	NA	NA	TARA_100	TARA_B100000401	2011-04-16	NA	-12.9794	-96.0232	177	south pacific	C	mesopelagic
tara_S0130	tara	NA	NA	TARA_100	TARA_B100000401	2011-04-15	NA	-13.0023	-95.9759	5	south pacific	A	epipelagic
tara_S0131	tara	NA	NA	TARA_100	TARA_B100000401	2011-04-15	NA	-13.0023	-95.9759	5	south pacific	B	epipelagic
tara_S0132	tara	NA	NA	TARA_100	TARA_B000000437	2011-04-15	NA	-13.0023	-95.9759	5	south pacific	C	epipelagic
tara_S0133	tara	NA	NA	TARA_102	TARA_B000000437	2011-04-22	NA	-5.2669	-85.2732	40	south pacific	A	epipelagic
tara_S0134	tara	NA	NA	TARA_102	TARA_B000000475	2011-04-22	NA	-5.2669	-85.2732	40	south pacific	B	epipelagic
tara_S0135	tara	NA	NA	TARA_102	TARA_B000000475	2011-04-22	NA	-5.2669	-85.2732	40	south pacific	C	epipelagic
tara_S0136	tara	NA	NA	TARA_102	TARA_B000000475	2011-04-21	NA	-5.2529	-85.1545	5	south pacific	A	epipelagic
tara_S0137	tara	NA	NA	TARA_102	TARA_B100000497	2011-04-21	NA	-5.2529	-85.1545	5	south pacific	B	epipelagic
tara_S0138	tara	NA	NA	TARA_109	TARA_B100000497	2011-05-12	NA	2.0299	-84.5546	30	south pacific	A	epipelagic
tara_S0139	tara	NA	NA	TARA_109	TARA_B100000475	2011-05-12	NA	2.0299	-84.5546	30	south pacific	B	epipelagic
tara_S0140	tara	NA	NA	TARA_109	TARA_B100000475	2011-05-12	NA	2.0299	-84.5546	30	south pacific	C	epipelagic
tara_S0141	tara	NA	NA	TARA_109	TARA_B100000475	2011-05-12	NA	1.9928	-84.5766	5	south pacific	A	epipelagic
tara_S0142	tara	NA	NA	TARA_109	TARA_B100000459	2011-05-12	NA	1.9928	-84.5766	5	south pacific	B	epipelagic
tara_S0143	tara	NA	NA	TARA_110	TARA_B100000459	2011-05-21	NA	-1.9002	-84.6265	50	south pacific	A	epipelagic
tara_S0144	tara	NA	NA	TARA_110	TARA_B100000424	2011-05-21	NA	-2.0133	-84.589	5	south pacific	A	epipelagic
tara_S0145	tara	NA	NA	TARA_111	TARA_B100000424	2011-05-31	NA	-16.9587	-100.6751	90.5	south pacific	A	epipelagic
tara_S0146	tara	NA	NA	TARA_111	TARA_B100000513	2011-05-31	NA	-16.9601	-100.6335	5	south pacific	A	epipelagic
tara_S0147	tara	NA	NA	TARA_112	TARA_B100000513	2011-06-15	NA	-23.2189	-129.4997	155.5	south pacific	A	epipelagic
tara_S0148	tara	NA	NA	TARA_112	TARA_B100000524	2011-06-14	NA	-23.2811	-129.3947	5	south pacific	A	epipelagic
tara_S0149	tara	NA	NA	TARA_122	TARA_B100000524	2011-07-28	NA	-9.0063	-139.1394	115	south pacific	A	epipelagic
tara_S0150	tara	NA	NA	TARA_122	TARA_B100000768	2011-07-26	NA	-8.9971	-139.1963	5	south pacific	A	epipelagic
tara_S0151	tara	NA	NA	TARA_123	TARA_B100000768	2011-08-01	NA	-8.9109	-140.2845	150	south pacific	A	epipelagic
tara_S0152	tara	NA	NA	TARA_123	TARA_B100000780	2011-08-01	NA	-8.9109	-140.2845	150	south pacific	B	epipelagic
tara_S0153	tara	NA	NA	TARA_123	TARA_B100000780	2011-08-01	NA	-8.9109	-140.2845	150	south pacific	C	epipelagic
