abundance	stdev	clade	location	lat	lon	depth	date
0.65	NA	LLI	BATS	31.6667	-64.1667	10	2006-09-06T00:00:00Z
0.65	NA	LLI	BATS	31.6667	-64.1667	20	2006-09-06T00:00:00Z
6.28	4.35	LLI	BATS	31.6667	-64.1667	40	2006-09-06T00:00:00Z
634	99.3	LLI	BATS	31.6667	-64.1667	60	2006-09-06T00:00:00Z
3440	87.7	LLI	BATS	31.6667	-64.1667	80	2006-09-06T00:00:00Z
12800	1390	LLI	BATS	31.6667	-64.1667	100	2006-09-06T00:00:00Z
1270	299	LLI	BATS	31.6667	-64.1667	120	2006-09-06T00:00:00Z
181	48.2	LLI	BATS	31.6667	-64.1667	140	2006-09-06T00:00:00Z
1630	116	LLI	BATS	31.6667	-64.1667	160	2006-09-06T00:00:00Z
70	11.8	LLI	BATS	31.6667	-64.1667	180	2006-09-06T00:00:00Z
10.6	3.57	LLI	BATS	31.6667	-64.1667	200	2006-09-06T00:00:00Z
10.5	5.64	LLI	BATS	31.6667	-64.1667	1	2006-10-12T00:00:00Z
6.94	NA	LLI	BATS	31.6667	-64.1667	10	2006-10-12T00:00:00Z
3.01	1.24	LLI	BATS	31.6667	-64.1667	20	2006-10-12T00:00:00Z
63.6	25.3	LLI	BATS	31.6667	-64.1667	40	2006-10-12T00:00:00Z
3270	1370	LLI	BATS	31.6667	-64.1667	60	2006-10-12T00:00:00Z
13200	845	LLI	BATS	31.6667	-64.1667	80	2006-10-12T00:00:00Z
2410	1480	LLI	BATS	31.6667	-64.1667	100	2006-10-12T00:00:00Z
774	356	LLI	BATS	31.6667	-64.1667	120	2006-10-12T00:00:00Z
1100	99.3	LLI	BATS	31.6667	-64.1667	140	2006-10-12T00:00:00Z
289	13.4	LLI	BATS	31.6667	-64.1667	160	2006-10-12T00:00:00Z
184	48.9	LLI	BATS	31.6667	-64.1667	180	2006-10-12T00:00:00Z
26.2	4.91	LLI	BATS	31.6667	-64.1667	200	2006-10-12T00:00:00Z
1800	92.6	LLI	BATS	31.6667	-64.1667	1	2006-11-08T00:00:00Z
1750	178	LLI	BATS	31.6667	-64.1667	10	2006-11-08T00:00:00Z
1670	170	LLI	BATS	31.6667	-64.1667	20	2006-11-08T00:00:00Z
1660	134	LLI	BATS	31.6667	-64.1667	40	2006-11-08T00:00:00Z
2000	35.7	LLI	BATS	31.6667	-64.1667	60	2006-11-08T00:00:00Z
6370	267	LLI	BATS	31.6667	-64.1667	80	2006-11-08T00:00:00Z
1660	231	LLI	BATS	31.6667	-64.1667	100	2006-11-08T00:00:00Z
1120	72.4	LLI	BATS	31.6667	-64.1667	120	2006-11-08T00:00:00Z
159	26.9	LLI	BATS	31.6667	-64.1667	140	2006-11-08T00:00:00Z
32.5	9.28	LLI	BATS	31.6667	-64.1667	160	2006-11-08T00:00:00Z
23	8.47	LLI	BATS	31.6667	-64.1667	180	2006-11-08T00:00:00Z
2.15	1.41	LLI	BATS	31.6667	-64.1667	200	2006-11-08T00:00:00Z
522	37	LLI	BATS	31.6667	-64.1667	1	2006-12-05T00:00:00Z
441	48.8	LLI	BATS	31.6667	-64.1667	10	2006-12-05T00:00:00Z
512	102	LLI	BATS	31.6667	-64.1667	20	2006-12-05T00:00:00Z
506	96.7	LLI	BATS	31.6667	-64.1667	40	2006-12-05T00:00:00Z
601	81.2	LLI	BATS	31.6667	-64.1667	60	2006-12-05T00:00:00Z
566	95.7	LLI	BATS	31.6667	-64.1667	80	2006-12-05T00:00:00Z
577	33.2	LLI	BATS	31.6667	-64.1667	100	2006-12-05T00:00:00Z
380	327	LLI	BATS	31.6667	-64.1667	120	2006-12-05T00:00:00Z
648	465	LLI	BATS	31.6667	-64.1667	140	2006-12-05T00:00:00Z
5.35	2.43	LLI	BATS	31.6667	-64.1667	160	2006-12-05T00:00:00Z
3.35	NA	LLI	BATS	31.6667	-64.1667	180	2006-12-05T00:00:00Z
1.35	NA	LLI	BATS	31.6667	-64.1667	200	2006-12-05T00:00:00Z
2760	355	LLI	BATS	31.6667	-64.1667	1	2007-01-28T00:00:00Z
2320	146	LLI	BATS	31.6667	-64.1667	10	2007-01-28T00:00:00Z
2580	85.2	LLI	BATS	31.6667	-64.1667	20	2007-01-28T00:00:00Z
2940	458	LLI	BATS	31.6667	-64.1667	40	2007-01-28T00:00:00Z
2420	284	LLI	BATS	31.6667	-64.1667	60	2007-01-28T00:00:00Z
2110	253	LLI	BATS	31.6667	-64.1667	80	2007-01-28T00:00:00Z
2160	539	LLI	BATS	31.6667	-64.1667	100	2007-01-28T00:00:00Z
2290	117	LLI	BATS	31.6667	-64.1667	120	2007-01-28T00:00:00Z
